source	target	value	N
7	1	0	94
7	2	10	94
7	3	17	94
7	4	1	94
7	5	1	94
7	6	0	94
7	7	94	94
7	8	0	94
7	9	0	94
7	10	6	94
7	11	11	94
7	12	0	94
7	13	2	94
7	14	16	94
7	15	0	94
7	16	0	94
7	17	2	94
7	18	2	94
7	19	0	94
7	20	0	94
7	21	0	94
7	22	0	94
7	23	0	94
7	24	0	94
7	25	0	94
7	26	0	94
7	27	0	94
7	28	0	94
7	29	0	94
7	30	24	94
7	31	0	94
7	32	0	94
7	33	0	94
7	34	0	94
7	35	0	94
7	36	0	94
7	37	0	94
7	38	0	94
7	39	0	94
7	40	0	94
7	41	0	94
7	42	0	94
7	43	4	94
7	44	0	94
7	45	0	94
7	46	0	94
7	47	0	94
7	48	0	94
7	49	0	94
7	50	0	94
7	51	4	94
7	52	0	94
7	53	0	94
7	54	0	94
7	55	0	94
7	56	0	94
7	57	0	94
7	58	0	94
7	59	0	94
7	60	0	94
7	61	0	94
7	62	0	94
7	63	0	94
7	64	0	94
8	0	0	88
8	1	0	88
8	2	6	88
8	3	6	88
8	4	4	88
8	5	6	88
8	6	0	88
8	7	0	88
8	8	88	88
8	9	6	88
8	10	5	88
8	11	2	88
8	12	4	88
8	13	2	88
8	14	2	88
8	15	0	88
8	16	0	88
8	17	0	88
8	18	1	88
8	19	0	88
8	20	1	88
8	21	0	88
8	22	2	88
8	23	0	88
8	24	2	88
8	25	0	88
8	26	0	88
8	27	0	88
8	28	0	88
8	29	0	88
8	30	0	88
8	31	0	88
8	32	0	88
8	33	1	88
8	34	0	88
8	35	0	88
8	36	0	88
8	37	0	88
8	38	0	88
8	39	0	88
8	40	0	88
8	41	0	88
8	42	1	88
8	43	1	88
8	44	0	88
8	45	0	88
8	46	0	88
8	47	0	88
8	48	0	88
8	49	0	88
8	50	0	88
8	51	4	88
8	52	33	88
8	53	0	88
8	54	0	88
8	55	0	88
8	56	0	88
8	57	0	88
8	58	6	88
8	59	0	88
8	60	0	88
8	61	2	88
8	62	0	88
8	63	0	88
8	64	0	88
9	0	0	52
9	1	0	52
9	2	2	52
9	3	3	52
9	4	0	52
9	5	0	52
9	6	0	52
9	7	0	52
9	8	6	52
9	9	52	52
9	10	4	52
9	11	4	52
9	12	3	52
9	13	3	52
9	14	0	52
9	15	0	52
9	16	0	52
9	17	0	52
9	18	1	52
9	19	2	52
9	20	6	52
9	21	0	52
9	22	0	52
9	23	0	52
9	24	0	52
9	25	0	52
9	26	0	52
9	27	0	52
9	28	0	52
9	29	0	52
9	30	0	52
9	31	0	52
9	32	0	52
9	33	0	52
9	34	0	52
9	35	0	52
9	36	0	52
9	37	0	52
9	38	0	52
9	39	2	52
9	40	0	52
9	41	0	52
9	42	0	52
9	43	0	52
9	44	0	52
9	45	0	52
9	46	0	52
9	47	0	52
9	48	0	52
9	49	0	52
9	50	0	52
9	51	0	52
9	52	2	52
9	53	0	52
9	54	0	52
9	55	0	52
9	56	0	52
9	57	0	52
9	58	2	52
9	59	0	52
9	60	0	52
9	61	0	52
9	62	4	52
9	63	0	52
9	64	0	52
10	0	2	93
10	1	0	93
10	2	4	93
10	3	8	93
10	4	0	93
10	5	0	93
10	6	0	93
10	7	6	93
10	8	5	93
10	9	4	93
10	10	93	93
10	11	8	93
10	12	0	93
10	13	8	93
10	14	3	93
10	15	0	93
10	16	0	93
10	17	0	93
10	18	2	93
10	19	0	93
10	20	0	93
10	21	2	93
10	22	0	93
10	23	0	93
10	24	0	93
10	25	0	93
10	26	0	93
10	27	0	93
10	28	0	93
10	29	0	93
10	30	2	93
10	31	0	93
10	32	0	93
10	33	0	93
10	34	0	93
10	35	0	93
10	36	0	93
10	37	0	93
10	38	0	93
10	39	0	93
10	40	0	93
10	41	0	93
10	42	0	93
10	43	0	93
10	44	0	93
10	45	0	93
10	46	0	93
10	47	0	93
10	48	0	93
10	49	0	93
10	50	0	93
10	51	0	93
10	52	1	93
10	53	0	93
10	54	0	93
10	55	0	93
10	56	0	93
10	57	0	93
10	58	3	93
10	59	0	93
10	60	0	93
10	61	0	93
10	62	0	93
10	63	0	93
10	64	0	93
11	0	2	89
11	1	0	89
11	2	4	89
11	3	18	89
11	4	2	89
11	5	0	89
11	6	0	89
11	7	11	89
11	8	2	89
11	9	4	89
11	10	8	89
11	11	89	89
11	12	2	89
11	13	7	89
11	14	10	89
11	15	0	89
11	16	2	89
11	17	7	89
11	18	10	89
11	19	0	89
11	20	0	89
11	21	0	89
11	22	1	89
11	23	0	89
11	24	2	89
11	25	0	89
11	26	0	89
11	27	0	89
11	28	0	89
11	29	0	89
11	30	2	89
11	31	0	89
11	32	0	89
11	33	0	89
11	34	0	89
11	35	0	89
11	36	0	89
11	37	0	89
11	38	0	89
11	39	1	89
11	40	0	89
11	41	0	89
11	42	0	89
11	43	1	89
11	44	0	89
11	45	0	89
11	46	0	89
11	47	0	89
11	48	0	89
11	49	0	89
11	50	0	89
11	51	3	89
11	52	0	89
11	53	0	89
11	54	0	89
11	55	0	89
11	56	0	89
11	57	0	89
11	58	3	89
11	59	0	89
11	60	0	89
11	61	0	89
11	62	0	89
11	63	0	89
11	64	0	89
12	0	0	265
12	1	0	265
12	2	4	265
12	3	4	265
12	4	4	265
12	5	4	265
12	6	0	265
12	7	0	265
12	8	4	265
12	9	3	265
12	10	0	265
12	11	2	265
12	12	265	265
12	13	0	265
12	14	0	265
12	15	0	265
12	16	0	265
12	17	0	265
12	18	5	265
12	19	2	265
12	20	0	265
12	21	0	265
12	22	0	265
12	23	1	265
12	24	48	265
12	25	0	265
12	26	0	265
12	27	0	265
12	28	0	265
12	29	0	265
12	30	0	265
12	31	0	265
12	32	0	265
12	33	0	265
12	34	0	265
12	35	0	265
12	36	0	265
12	37	0	265
12	38	0	265
12	39	0	265
12	40	0	265
12	41	0	265
12	42	0	265
12	43	0	265
12	44	0	265
12	45	0	265
12	46	0	265
12	47	0	265
12	48	0	265
12	49	0	265
12	50	0	265
12	51	4	265
12	52	0	265
12	53	0	265
12	54	0	265
12	55	0	265
12	56	0	265
12	57	0	265
12	58	4	265
12	59	0	265
12	60	0	265
12	61	0	265
12	62	0	265
12	63	0	265
12	64	0	265
13	0	2	83
13	1	0	83
13	2	7	83
13	3	6	83
13	4	0	83
13	5	8	83
13	6	0	83
13	7	2	83
13	8	2	83
13	9	3	83
13	10	8	83
13	11	7	83
13	12	0	83
13	13	83	83
13	14	4	83
13	15	0	83
13	16	0	83
13	17	0	83
13	18	2	83
13	19	0	83
13	20	0	83
13	21	0	83
13	22	0	83
13	23	0	83
13	24	2	83
13	25	4	83
13	26	2	83
13	27	0	83
13	28	0	83
13	29	0	83
13	30	0	83
13	31	0	83
13	32	0	83
13	33	0	83
13	34	0	83
13	35	0	83
13	36	0	83
13	37	0	83
13	38	0	83
13	39	0	83
13	40	2	83
13	41	1	83
13	42	0	83
13	43	2	83
13	44	0	83
13	45	0	83
13	46	0	83
13	47	0	83
13	48	0	83
13	49	0	83
13	50	0	83
13	51	5	83
13	52	0	83
13	53	0	83
13	54	0	83
13	55	0	83
13	56	0	83
13	57	2	83
13	58	21	83
13	59	0	83
13	60	0	83
13	61	2	83
13	62	0	83
13	63	0	83
13	64	0	83
14	0	24	282
14	1	0	282
14	2	29	282
14	3	74	282
14	4	60	282
14	5	48	282
14	6	0	282
14	7	16	282
14	8	2	282
14	9	0	282
14	10	3	282
14	11	10	282
14	12	0	282
14	13	4	282
14	14	282	282
14	15	0	282
14	16	0	282
14	17	2	282
14	18	2	282
14	19	0	282
14	20	0	282
14	21	0	282
14	22	3	282
14	23	0	282
14	24	2	282
14	25	0	282
14	26	0	282
14	27	0	282
14	28	0	282
14	29	0	282
14	30	28	282
14	31	0	282
14	32	0	282
14	33	0	282
14	34	0	282
14	35	0	282
14	36	0	282
14	37	0	282
14	38	0	282
14	39	0	282
14	40	0	282
14	41	0	282
14	42	4	282
14	43	0	282
14	44	0	282
14	45	0	282
14	46	0	282
14	47	0	282
14	48	0	282
14	49	0	282
14	50	0	282
14	51	2	282
14	52	0	282
14	53	0	282
14	54	0	282
14	55	0	282
14	56	0	282
14	57	0	282
14	58	5	282
14	59	0	282
14	60	0	282
14	61	2	282
14	62	0	282
14	63	0	282
14	64	0	282
15	0	0	134
15	1	89	134
15	2	0	134
15	3	0	134
15	4	0	134
15	5	0	134
15	6	77	134
15	7	0	134
15	8	0	134
15	9	0	134
15	10	0	134
15	11	0	134
15	12	0	134
15	13	0	134
15	14	0	134
15	15	134	134
15	16	0	134
15	17	0	134
15	18	0	134
15	19	0	134
15	20	0	134
15	21	0	134
15	22	0	134
15	23	0	134
15	24	0	134
15	25	0	134
15	26	0	134
15	27	0	134
15	28	0	134
15	29	0	134
15	30	0	134
15	31	28	134
15	32	2	134
15	33	0	134
15	34	0	134
15	35	9	134
15	36	0	134
15	37	19	134
15	38	6	134
15	39	0	134
15	40	0	134
15	41	0	134
15	42	0	134
15	43	0	134
15	44	0	134
15	45	0	134
15	46	0	134
15	47	0	134
15	48	0	134
15	49	0	134
15	50	0	134
15	51	0	134
15	52	0	134
15	53	0	134
15	54	0	134
15	55	0	134
15	56	0	134
15	57	0	134
15	58	0	134
15	59	0	134
15	60	22	134
15	61	0	134
15	62	0	134
15	63	0	134
15	64	8	134
16	0	1	55
16	1	0	55
16	2	0	55
16	3	0	55
16	4	0	55
16	5	0	55
16	6	0	55
16	7	0	55
16	8	0	55
16	9	0	55
16	10	0	55
16	11	2	55
16	12	0	55
16	13	0	55
16	14	0	55
16	15	0	55
16	16	55	55
16	17	1	55
16	18	0	55
16	19	0	55
16	20	0	55
16	21	0	55
16	22	0	55
16	23	0	55
16	24	0	55
16	25	0	55
16	26	0	55
16	27	0	55
16	28	0	55
16	29	0	55
16	30	1	55
16	31	0	55
16	32	0	55
16	33	0	55
16	34	0	55
16	35	0	55
16	36	0	55
16	37	0	55
16	38	0	55
16	39	0	55
16	40	0	55
16	41	0	55
16	42	0	55
16	43	4	55
16	44	0	55
16	45	0	55
16	46	0	55
16	47	0	55
16	48	0	55
16	49	0	55
16	50	0	55
16	51	0	55
16	52	2	55
16	53	0	55
16	54	0	55
16	55	0	55
16	56	0	55
16	57	0	55
16	58	0	55
16	59	0	55
16	60	0	55
16	61	0	55
16	62	0	55
16	63	0	55
16	64	0	55
17	0	2	44
17	1	0	44
17	2	9	44
17	3	14	44
17	4	2	44
17	5	2	44
17	6	0	44
17	7	2	44
17	8	0	44
17	9	0	44
17	10	0	44
17	11	7	44
17	12	0	44
17	13	0	44
17	14	2	44
17	15	0	44
17	16	1	44
17	17	44	44
17	18	0	44
17	19	0	44
17	20	0	44
17	21	0	44
17	22	0	44
17	23	0	44
17	24	0	44
17	25	0	44
17	26	0	44
17	27	0	44
17	28	0	44
17	29	0	44
17	30	2	44
17	31	0	44
17	32	0	44
17	33	0	44
17	34	0	44
17	35	0	44
17	36	0	44
17	37	0	44
17	38	0	44
17	39	0	44
17	40	0	44
17	41	0	44
17	42	22	44
17	43	5	44
17	44	0	44
17	45	0	44
17	46	0	44
17	47	0	44
17	48	0	44
17	49	0	44
17	50	0	44
17	51	0	44
17	52	0	44
17	53	0	44
17	54	0	44
17	55	0	44
17	56	0	44
17	57	0	44
17	58	3	44
17	59	0	44
17	60	0	44
17	61	0	44
17	62	0	44
17	63	0	44
17	64	0	44
18	0	0	79
18	1	0	79
18	2	0	79
18	3	7	79
18	4	0	79
18	5	0	79
18	6	0	79
18	7	2	79
18	8	1	79
18	9	1	79
18	10	2	79
18	11	10	79
18	12	5	79
18	13	2	79
18	14	2	79
18	15	0	79
18	16	0	79
18	17	0	79
18	18	79	79
18	19	0	79
18	20	1	79
18	21	1	79
18	22	0	79
18	23	1	79
18	24	5	79
18	25	1	79
18	26	1	79
18	27	0	79
18	28	4	79
18	29	0	79
18	30	0	79
18	31	0	79
18	32	0	79
18	33	8	79
18	34	0	79
18	35	0	79
18	36	10	79
18	37	0	79
18	38	0	79
18	39	3	79
18	40	0	79
18	41	0	79
18	42	0	79
18	43	0	79
18	44	1	79
18	45	1	79
18	46	1	79
18	47	1	79
18	48	1	79
18	49	1	79
18	50	1	79
18	51	3	79
18	52	2	79
18	53	0	79
18	54	0	79
18	55	0	79
18	56	0	79
18	57	0	79
18	58	0	79
18	59	4	79
18	60	0	79
18	61	0	79
18	62	0	79
18	63	0	79
18	64	0	79
19	0	0	43
19	1	0	43
19	2	0	43
19	3	0	43
19	4	0	43
19	5	0	43
19	6	0	43
19	7	0	43
19	8	0	43
19	9	2	43
19	10	0	43
19	11	0	43
19	12	2	43
19	13	0	43
19	14	0	43
19	15	0	43
19	16	0	43
19	17	0	43
19	18	0	43
19	19	43	43
19	20	22	43
19	21	0	43
19	22	0	43
19	23	0	43
19	24	0	43
19	25	0	43
19	26	0	43
19	27	0	43
19	28	0	43
19	29	0	43
19	30	0	43
19	31	0	43
19	32	0	43
19	33	0	43
19	34	0	43
19	35	0	43
19	36	0	43
19	37	0	43
19	38	0	43
19	39	11	43
19	40	0	43
19	41	0	43
19	42	0	43
19	43	0	43
19	44	0	43
19	45	0	43
19	46	0	43
19	47	0	43
19	48	0	43
19	49	0	43
19	50	0	43
19	51	0	43
19	52	0	43
19	53	0	43
19	54	0	43
19	55	0	43
19	56	0	43
19	57	0	43
19	58	0	43
19	59	0	43
19	60	0	43
19	61	0	43
19	62	9	43
19	63	22	43
19	64	0	43
20	0	0	48
20	1	0	48
20	2	0	48
20	3	0	48
20	4	0	48
20	5	0	48
20	6	0	48
20	7	0	48
20	8	1	48
20	9	6	48
20	10	0	48
20	11	0	48
20	12	0	48
20	13	0	48
20	14	0	48
20	15	0	48
20	16	0	48
20	17	0	48
20	18	1	48
20	19	22	48
20	20	48	48
20	21	0	48
20	22	0	48
20	23	0	48
20	24	0	48
20	25	0	48
20	26	0	48
20	27	0	48
20	28	0	48
20	29	0	48
20	30	0	48
20	31	0	48
20	32	0	48
20	33	0	48
20	34	0	48
20	35	0	48
20	36	0	48
20	37	0	48
20	38	0	48
20	39	14	48
20	40	0	48
20	41	0	48
20	42	0	48
20	43	0	48
20	44	0	48
20	45	0	48
20	46	0	48
20	47	0	48
20	48	0	48
20	49	0	48
20	50	0	48
20	51	0	48
20	52	2	48
20	53	0	48
20	54	0	48
20	55	0	48
20	56	0	48
20	57	0	48
20	58	0	48
20	59	0	48
20	60	0	48
20	61	0	48
20	62	16	48
20	63	10	48
20	64	0	48
21	0	0	34
21	1	0	34
21	2	0	34
21	3	0	34
21	4	0	34
21	5	0	34
21	6	0	34
21	7	0	34
21	8	0	34
21	9	0	34
21	10	2	34
21	11	0	34
21	12	0	34
21	13	0	34
21	14	0	34
21	15	0	34
21	16	0	34
21	17	0	34
21	18	1	34
21	19	0	34
21	20	0	34
21	21	34	34
21	22	0	34
21	23	3	34
21	24	0	34
21	25	7	34
21	26	4	34
21	27	0	34
21	28	0	34
21	29	0	34
21	30	0	34
21	31	0	34
21	32	0	34
21	33	0	34
21	34	0	34
21	35	0	34
21	36	0	34
21	37	0	34
21	38	0	34
21	39	2	34
21	40	0	34
21	41	0	34
21	42	0	34
21	43	0	34
21	44	0	34
21	45	0	34
21	46	0	34
21	47	3	34
21	48	0	34
